lab_profile,organization,number,series,created,last_modified,status,platform
Cybersecurity Essentials,NextGen Labs,Y7,Foundations of Technology,"November 19, 2020","July 26, 2023",Complete,ESX
Linux Command Line Basics,DevForge,Q7,Mobile Development Series,"March 15, 2016","April 25, 2022",Awaiting Verification,ESX
AI for Beginners,AI Nexus,C8M,Data Science Bootcamp,"December 11, 2014","January 29, 2017",Awaiting Verification,ESX
Building Secure Web Applications,DevForge,MDI7,DevOps Essentials,"January 13, 2017","September 28, 2024",Complete,None | Azure
Blockchain Fundamentals,SecureNet,O,Cloud Mastery Series,"March 23, 2019","September 20, 2022",Complete,None | Azure
Database Design and Management,TechNova,4R,Cybersecurity Pathway,"July 24, 2022","December 27, 2023",Complete,Hyper-V
Agile Project Management,CodeCrafters,72BYI,Data Science Bootcamp,"October 27, 2023","March 23, 2024",Awaiting Verification,Hyper-V
Cybersecurity Essentials,CyberCore,J,Cybersecurity Pathway,"August 21, 2010","November 5, 2019",Awaiting Verification,ESX
Introduction to Data Science,CloudSphere,WZSZ,Cybersecurity Pathway,"August 31, 2014","May 22, 2025",In Development,None
Cloud Computing Basics,AI Nexus,46,Advanced Developer Series,"December 9, 2018","February 16, 2023",In Development,None
Agile Project Management,CodeCrafters,W,DevOps Essentials,"March 23, 2020","July 8, 2024",Awaiting Verification,ESX
DevOps Practices and Tools,AI Nexus,MATWY,Mobile Development Series,"March 3, 2021","October 18, 2024",In Development,Hyper-V | Azure
Web Development with JavaScript,CloudSphere,A8,Foundations of Technology,"August 26, 2023","March 6, 2025",Awaiting Verification,ESX
Big Data Analytics,CloudSphere,135,AI and Machine Learning Track,"April 29, 2012","April 15, 2013",In Development,Hyper-V | Azure
Blockchain Fundamentals,CloudSphere,IZ,Mobile Development Series,"November 7, 2023","December 13, 2023",Awaiting Verification,ESX
Version Control with Git,CyberCore,0GSJ,AI and Machine Learning Track,"September 24, 2023","July 2, 2025",Complete,Hyper-V
Machine Learning Fundamentals,InnoSoft,1BVV,Foundations of Technology,"September 19, 2015","April 20, 2020",Complete,ESX
AI for Beginners,TechNova,4ML,DevOps Essentials,"December 11, 2021","September 23, 2023",In Development,Hyper-V
Blockchain Fundamentals,NextGen Labs,J8,Data Science Bootcamp,"May 1, 2020","June 17, 2022",Awaiting Verification,ESX
Linux Command Line Basics,CloudSphere,D6Z6I,Web Development Journey,"January 11, 2022","February 1, 2022",Awaiting Verification,ESX
Networking Concepts,CloudSphere,MTQOV,Networking Academy,"August 24, 2020","October 4, 2024",In Development,ESX
Cybersecurity Essentials,DataMinds,G95AW,Mobile Development Series,"July 22, 2024","February 14, 2025",Awaiting Verification,ESX
Agile Project Management,AI Nexus,0,Foundations of Technology,"August 17, 2017","October 16, 2018",In Development,ESX
Data Visualization with Python,InnoSoft,5,Web Development Journey,"September 24, 2022","April 30, 2025",In Development,Hyper-V
Web Development with JavaScript,CloudSphere,06ID,Mobile Development Series,"November 19, 2013","August 6, 2014",Complete,ESX
